Layer,Bar,Sensor,Sensor_Size,DAQ,Asic,Channel,
25,2,1,1,1,-999,-999,
26,0,1,1,1,-999,-999,
26,1,1,1,1,-999,-999,
26,2,1,1,1,-999,-999,
27,0,1,1,1,-999,-999,
27,1,1,1,1,-999,-999,
27,2,1,1,1,-999,-999,
28,0,1,1,1,-999,-999,
28,1,1,1,1,-999,-999,
28,2,1,1,1,-999,-999,
29,0,1,1,1,-999,-999,
29,1,1,1,1,-999,-999,
29,2,1,1,1,-999,-999,
30,0,1,1,1,-999,-999,
30,1,1,1,1,-999,-999,
30,2,1,1,1,-999,-999,
31,0,1,1,1,-999,-999,
31,1,1,1,1,-999,-999,
31,2,1,1,1,-999,-999,
